,County,0 - 4 years %,5 - 9 years %,10 - 14 years %,15 - 19 years %,20 - 24 years %,25 - 29 years %,30 - 34 years %,35 - 39 years %,40 - 44 years %,45 - 49 years %,50 - 54 years %,55 - 59 years %,60 - 64 years %,65 - 69 years %,75 - 79 years %,80 - 84 years %,85 years and over %
0,Carlow,7.12%,7.76%,7.26%,6.47%,5.84%,5.95%,7.26%,7.9%,7.55%,6.87%,6.34%,5.7%,5.03%,4.33%,2.38%,1.59%,1.3%
1,Cavan,7.52%,8.27%,7.35%,6.85%,4.63%,5.24%,7.12%,7.63%,7.21%,6.95%,6.52%,5.87%,5.14%,4.52%,2.39%,1.84%,1.62%
2,Clare,6.65%,7.57%,7.3%,6.66%,4.84%,4.74%,6.27%,7.47%,7.67%,7.36%,6.79%,6.23%,5.59%,5.18%,2.58%,1.75%,1.5%
3,Cork,6.93%,7.45%,6.53%,6.42%,5.99%,5.98%,7.44%,8.13%,7.49%,6.88%,6.44%,5.7%,5.02%,4.45%,2.49%,1.79%,1.43%
4,Donegal,6.77%,7.82%,7.43%,6.82%,4.74%,5.07%,6.17%,7.3%,7.17%,7.11%,6.47%,5.89%,5.53%,5.14%,2.87%,1.92%,1.69%
5,Dublin,6.76%,6.73%,5.8%,5.84%,6.83%,8.28%,9.16%,8.95%,7.44%,6.42%,5.82%,5.23%,4.5%,3.91%,2.3%,1.63%,1.36%
6,Galway,6.9%,7.32%,6.66%,6.43%,6.38%,5.93%,7.31%,8.21%,7.53%,6.86%,6.12%,5.67%,5.16%,4.43%,2.42%,1.74%,1.53%
7,Kerry,6.11%,6.87%,6.51%,6.16%,4.55%,4.82%,6.58%,7.46%,7.24%,7.05%,6.87%,6.63%,6.2%,5.81%,3.0%,2.05%,1.66%
8,Kildare,7.78%,8.59%,7.7%,6.96%,5.61%,5.5%,7.65%,8.73%,8.4%,7.3%,6.25%,5.22%,4.41%,3.75%,1.61%,1.02%,0.88%
9,Kilkenny,7.17%,7.66%,7.11%,6.6%,4.7%,5.33%,6.75%,7.86%,7.73%,6.92%,6.57%,6.07%,5.37%,4.67%,2.49%,1.77%,1.57%
10,Laois,7.84%,8.95%,7.77%,6.29%,4.85%,5.78%,7.89%,8.51%,7.52%,7.02%,6.1%,5.46%,4.68%,3.84%,1.97%,1.41%,1.14%
11,Leitrim,6.83%,7.54%,7.24%,5.87%,4.04%,4.47%,6.19%,7.28%,7.28%,6.91%,6.64%,6.58%,6.25%,5.45%,3.01%,2.13%,2.14%
12,Limerick,6.74%,7.19%,6.38%,6.79%,6.47%,6.05%,7.31%,7.8%,7.22%,6.63%,6.19%,5.83%,5.32%,4.77%,2.57%,1.73%,1.36%
13,Longford,7.46%,8.28%,7.51%,6.37%,4.78%,5.44%,6.81%,7.82%,7.11%,6.85%,6.08%,5.83%,5.39%,4.87%,2.38%,1.84%,1.46%
14,Louth,7.35%,8.14%,7.53%,6.63%,5.49%,5.91%,7.18%,7.95%,7.75%,7.18%,6.32%,5.42%,4.69%,4.16%,2.27%,1.52%,1.24%
15,Mayo,6.43%,7.01%,6.91%,6.39%,4.44%,4.72%,6.21%,6.79%,6.91%,6.84%,6.82%,6.72%,6.23%,5.85%,3.1%,2.26%,1.98%
16,Meath,8.07%,9.11%,7.91%,6.66%,4.81%,5.01%,7.19%,8.63%,8.53%,7.46%,6.34%,5.19%,4.45%,3.79%,1.81%,1.19%,1.02%
17,Monaghan,7.61%,8.02%,7.11%,6.54%,4.85%,5.65%,7.11%,7.67%,7.24%,6.71%,6.37%,5.91%,5.25%,4.68%,2.42%,1.88%,1.57%
18,Offaly,7.22%,8.0%,7.51%,6.94%,5.06%,5.28%,6.91%,7.6%,7.39%,6.9%,6.61%,5.86%,5.11%,4.54%,2.47%,1.78%,1.43%
19,Roscommon,6.76%,7.38%,7.03%,6.21%,4.26%,4.8%,6.29%,7.11%,7.09%,6.96%,6.76%,6.54%,6.16%,5.25%,2.91%,2.28%,2.12%
20,Sligo,6.58%,7.22%,6.52%,6.74%,5.49%,4.89%,6.51%,7.27%,6.89%,6.63%,6.71%,6.51%,5.84%,5.43%,2.86%,2.05%,1.85%
21,Tipperary,6.82%,7.49%,7.03%,6.61%,4.86%,5.08%,6.5%,7.4%,7.34%,7.06%,6.76%,6.17%,5.59%,4.96%,2.75%,2.05%,1.67%
22,Waterford,6.55%,7.5%,7.07%,6.61%,5.26%,5.39%,6.51%,7.77%,7.28%,7.05%,6.74%,5.91%,5.4%,4.91%,2.76%,1.93%,1.47%
23,Westmeath,7.28%,7.83%,7.17%,6.73%,5.65%,5.85%,7.28%,7.85%,7.3%,7.05%,6.49%,5.72%,4.99%,4.27%,2.35%,1.63%,1.33%
24,Wexford,6.9%,7.8%,7.31%,6.53%,4.79%,5.2%,6.53%,7.57%,7.44%,7.17%,6.71%,6.01%,5.36%,4.85%,2.77%,1.8%,1.39%
25,Wicklow,7.14%,8.23%,7.29%,6.35%,5.02%,5.09%,6.78%,8.07%,7.99%,7.25%,6.88%,5.81%,5.06%,4.5%,2.32%,1.49%,1.22%
26,All,6.96%,7.47%,6.71%,6.36%,5.75%,6.25%,7.6%,8.18%,7.51%,6.85%,6.3%,5.67%,5.02%,4.44%,2.42%,1.7%,1.42%
